Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"3.78_72.08081_polar",4818,6814,6862,4644,4062,3948,5018,5186
"3.8_200.17569_polar",756,660,0,876,2756,3216,4268,6602
"3.8_341.26596_polar",2044,1862,1536,1480,1962,2260,2210,2258
"3.82_115.0862_polar",462,602,0,524,1250,814,800,852
"3.82_123.04407_polar",4064,3866,3160,3430,3632,4168,4358,3776
"3.83_119.04919_polar",1476,2252,1706,2168,1968,2758,2470,2746
"3.83_136.07572_polar",14298,13696,10938,11454,16540,16732,18434,16346
"3.83_203.10245_polar",1330,1256,734,1378,1254,1852,1034,1846
"3.83_282.04845_polar",558,606,320,572,724,1112,574,890
"3.83_230.11366_polar",0,1260,0,0,0,0,1094,0
"3.83_211.10123_polar",766,940,1772,438,1226,938,972,736
"3.84_198.11248_polar",766,1312,844,876,1328,1134,1382,1388
"3.84_244.11797_polar",2142,2398,2304,2198,2830,2630,3680,3256
"3.86_58.06519_polar",1014,852,0,1062,780,1196,1394,786
"3.86_295.12874_polar",2698,2114,1902,2132,3758,3330,5434,4166
"3.91_182.0672_polar",6512,4766,9000,4508,6586,4662,5842,4418
"3.94_220.11783_polar",1958,3034,1366,2584,4668,3652,4266,4332
"4.02_469.15006_polar",1894,1866,376,1536,1228,968,1534,1634
"4.03_419.17705_polar",1742,1786,1024,2114,308,72,134,0
"4.03_453.16138_polar",1138,892,808,1186,0,0,0,0
"4.16_214.071_polar",714,746,0,664,594,644,1104,624
"4.17_216.08683_polar",542,702,296,680,674,708,816,1044
"4.18_354.07916_polar",778,906,840,1224,1212,1154,1392,1012
"4.2_474.18374_polar",6396,6224,4336,5470,300,216,334,324
"4.19_131.12934_polar",390,0,0,480,754,922,806,1032
"4.2_311.12372_polar",3272,2598,1592,2476,5458,4056,5288,4504
"4.26_630.27232_polar",3656,3374,2150,3684,308,0,328,0
"4.29_350.10172_polar",650,1028,1794,1524,1044,1352,1214,1340
"4.3_290.20743_polar",2292,2014,0,1816,254,200,0,112
"4.31_644.25088_polar",798,808,704,814,1122,1054,860,1178
"4.34_347.22876_polar",3646,3572,1810,3750,356,180,0,0
"4.35_318.20234_polar",1110,884,542,786,0,0,150,68
"4.36_246.18117_polar",2556,2122,1444,2298,244,0,0,116
"4.36_333.08628_polar",10614,13090,6004,15348,12470,14344,13716,16488
"4.38_103.0584_polar",1094,1688,956,1036,1284,988,1372,1512
"4.39_131.03389_polar",1732,1722,1994,1984,1500,1568,1636,1672
"4.4_57.03348_polar",2216,1864,1716,2056,1886,2314,2104,2170
"4.41_198.12366_polar",38186,35876,34352,41502,39862,38396,45122,39238
"4.41_154.13384_polar",19078,19784,17212,20168,17250,20208,20266,18240
"4.41_448.15963_polar",1278,1902,1014,2270,2848,2880,3352,3346
